point_id,district,Total,Exact_Minus_One,Very_Low,Very_High,Minimum,Maximum,Mean,Exact_Minus_One_Percent
P151,Solapur,211,0,0,0,-0.0136765893548727,0.6842105388641357,0.22860310937308867,0.0
P152,Thane,192,0,0,0,0.1143583208322525,0.8377708792686462,0.4220652054840078,0.0
P153,Thane,196,0,0,0,0.1020879447460174,0.6276240944862366,0.2876687727640478,0.0
P154,Thane,196,0,0,0,0.087012879550457,0.6326119899749756,0.21089019611173743,0.0
P155,Thane,197,0,0,0,0.0802546963095665,0.741150438785553,0.2390447803560247,0.0
P156,Wardha,282,0,0,0,0.0741312652826309,0.7457414865493774,0.37046226668865123,0.0
P157,Wardha,280,0,0,0,0.0368976294994354,0.8206738233566284,0.43066893728183847,0.0
P158,Wardha,186,0,0,0,-0.0661881119012832,0.7409974336624146,0.2947790485316066,0.0
P159,Wardha,208,0,0,0,0.0437830239534378,0.8566977977752686,0.3877110780718235,0.0
P160,Washim,192,0,0,1,0.0088906064629554,0.9608883261680604,0.3250741287677859,0.0
P161,Washim,205,0,0,0,-0.0039421813562512,0.794858455657959,0.360076499162469,0.0
P162,Washim,188,0,0,0,-0.0246502272784709,0.7169767022132874,0.21060774499486057,0.0
P163,Washim,190,0,0,0,0.0726746097207069,0.6011142134666443,0.23437708282941264,0.0
P164,Yavatmal,200,0,0,0,0.126328244805336,0.5887256860733032,0.2718253262341022,0.0
P165,Yavatmal,193,0,0,0,0.0778021961450576,0.7897971868515015,0.3598066397358716,0.0
P166,Yavatmal,181,0,0,0,0.1330523788928985,0.896880030632019,0.47304767979442747,0.0
P167,Yavatmal,184,0,0,0,0.16937355697155,0.5607295036315918,0.34221905154054577,0.0
