point_id,district,records,ndvi_available,ndvi_mean,rainfall_mean,temperature_mean,ndvi_coverage_percent
P124,Satara,468,258,0.1405133974500173,17.90177250658719,25.276306193176712,55.12820512820513
P125,Satara,468,246,0.4077603574552359,19.52721260828089,24.536709470364663,52.56410256410257
P126,Satara,468,261,0.4942356417690657,22.911803731202376,24.35829734926455,55.769230769230774
P127,Satara,468,250,0.2398998018801212,19.793789503389853,24.371662210224628,53.41880341880342
P128,Satara,468,263,0.22512298522113391,15.55536761268946,26.26991928761989,56.1965811965812
P129,Satara,468,266,0.24064321402824457,22.02720264342477,24.885879824478863,56.837606837606835
P130,Satara,468,252,0.31742204829222626,25.999039586034,24.376847316911196,53.84615384615385
P131,Satara,468,253,0.5970133180203645,19.803228818377445,24.371662210224628,54.059829059829056
P132,Satara,468,256,0.35210319627367426,21.663441704313016,23.924797126884933,54.700854700854705
P133,Satara,468,256,0.5377259235974634,25.979536933136476,24.417756447114762,54.700854700854705
P134,Satara,468,250,0.514451635658741,18.12379180049523,24.029878699862017,53.41880341880342
P135,Satara,468,252,0.5817365516272802,23.68141451487018,23.627941006298347,53.84615384615385
P136,Satara,468,249,0.33174004986223926,16.486654417089014,25.55113386387841,53.205128205128204
P137,Satara,468,248,0.41123300622547826,22.34714734174486,23.918602542931563,52.991452991452995
P138,Satara,468,249,0.29718716746293394,18.85493194379336,24.371662210224628,53.205128205128204
P139,Satara,468,265,0.43112663486093844,24.295048660488565,24.376847316911196,56.623931623931625
P140,Satara,468,255,0.4289722346792034,16.088337380268595,26.162911095345578,54.48717948717948
P141,Satara,468,263,0.5039889002820838,24.533891154273604,24.13407371049013,56.1965811965812
P142,Satara,468,265,0.5475706101026175,17.920181736033083,26.012728690402433,56.623931623931625
P143,Satara,468,256,0.4839973779162392,17.137682999965836,25.728516460755635,54.700854700854705
P144,Satara,468,258,0.4687450686975043,15.57995644294381,26.162911095345578,55.12820512820513
P145,Satara,468,252,0.31446894463650615,18.214883016981666,25.063672502088437,53.84615384615385
P146,Satara,468,254,0.37380246151473345,16.555130404479318,25.574436748692523,54.27350427350427
P147,Satara,468,246,0.4661007880316517,26.14128165375216,23.75114547471766,52.56410256410257
P148,Solapur,468,256,0.30776564741972834,17.059341477103608,26.816252100676333,54.700854700854705
P149,Solapur,468,255,0.4413309695381744,15.061270991570906,26.76098214593128,54.48717948717948
P150,Solapur,468,265,0.4712765779135362,14.594892310083017,26.89510239308864,56.623931623931625
P151,Solapur,468,275,0.23850565160540013,14.894568545077492,26.778304852340902,58.76068376068376
P152,Thane,468,255,0.42551542088097216,50.349523291245596,26.85281538864343,54.48717948717948
P153,Thane,468,254,0.309732330948349,51.19721655222697,26.690960388897803,54.27350427350427
P154,Thane,468,257,0.23999713296034453,54.185257411646305,26.67357071025324,54.91452991452992
P155,Thane,468,259,0.25924599141918087,47.01773175657884,26.425927680810894,55.34188034188035
P156,Wardha,468,341,0.38902573916744276,23.614689511098945,26.944914284575333,72.86324786324786
P157,Wardha,468,341,0.4537148936446811,23.954432403461077,27.220596969132533,72.86324786324786
P158,Wardha,468,265,0.3311141963274974,24.95792274693155,26.15718889418881,56.623931623931625
P159,Wardha,468,285,0.3979885962187198,25.3796318129889,27.483196021465467,60.89743589743589
P160,Washim,468,272,0.3537318645154728,20.002261326490377,26.290902861337837,58.119658119658126
P161,Washim,468,284,0.3890571455687652,19.782172557966586,26.75474391575506,60.68376068376068
P162,Washim,468,269,0.25258793831685183,20.581079696202547,26.214495738910205,57.47863247863248
P163,Washim,468,270,0.26056756791141295,19.93257134742552,26.106030279492597,57.692307692307686
P164,Yavatmal,468,272,0.28909732565722046,25.651827432084897,27.333324456127595,58.119658119658126
