Run,MAE,RMSE,R2,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
161,0.04714260106695335,0.07047836577889359,0.8915384483027787,20.0,1.0,4,8,500
158,0.04714260106695335,0.0704783657788936,0.8915384483027787,20.0,1.0,4,4,500
155,0.04714260106695335,0.0704783657788936,0.8915384483027787,20.0,1.0,4,2,500
42,0.04732854508636624,0.07047892907793826,0.8915367145357728,,0.8,2,4,700
39,0.04732854508636624,0.07047892907793826,0.8915367145357728,,0.8,2,2,700
19,0.0474795079871756,0.07048190848928901,0.8915275440339332,,0.6,4,2,300
25,0.047479507987175595,0.07048190848928901,0.8915275440339332,,0.6,4,8,300
22,0.047479507987175595,0.07048190848928901,0.8915275440339332,,0.6,4,4,300
199,0.047271803619271066,0.07048314076686239,0.8915237510224729,30.0,0.8,2,2,300
202,0.047271803619271066,0.07048314076686239,0.8915237510224729,30.0,0.8,2,4,300
40,0.04735364210320528,0.07048421925065379,0.8915204313414812,,0.8,2,4,300
37,0.04735364210320528,0.07048421925065379,0.8915204313414812,,0.8,2,2,300
117,0.04731604212214989,0.07048789095301372,0.8915091290934933,20.0,0.8,1,8,700
146,0.04718453681155129,0.07048903416129432,0.8915056099452798,20.0,1.0,2,2,500
149,0.04718453681155129,0.07048903416129432,0.8915056099452798,20.0,1.0,2,4,500
116,0.04737768860815777,0.07049043003204646,0.8915013129465439,20.0,0.8,1,8,500
285,0.04736129775590528,0.07049865077925117,0.8914760047653365,40.0,0.8,2,4,700
282,0.04736129775590527,0.07049865077925117,0.8914760047653365,40.0,0.8,2,2,700
148,0.04718957444859756,0.07050180877158597,0.8914662818666046,20.0,1.0,2,4,300
145,0.04718957444859756,0.07050180877158597,0.8914662818666046,20.0,1.0,2,2,300
38,0.047343987833420226,0.07050697027653993,0.8914503895699424,,0.8,2,2,500
41,0.047343987833420226,0.07050697027653995,0.8914503895699424,,0.8,2,4,500
87,0.0475963648589993,0.0705072269127112,0.8914495993556699,20.0,0.6,1,4,700
90,0.04750357620533688,0.07051147398212053,0.891436521689985,20.0,0.6,1,8,700
85,0.04764058296106592,0.07052904859883564,0.891382397185489,20.0,0.6,1,4,300
280,0.047400437607228944,0.0705310285105418,0.8913762988108165,40.0,0.8,2,2,300
283,0.04740043760722894,0.0705310285105418,0.8913762988108165,40.0,0.8,2,4,300
281,0.04740552648173242,0.0705362847118789,0.891360108225483,40.0,0.8,2,2,500
284,0.04740552648173242,0.0705362847118789,0.891360108225483,40.0,0.8,2,4,500
100,0.04744407860400444,0.07054231930010411,0.8913415185008184,20.0,0.6,4,2,300
106,0.04744407860400444,0.07054231930010411,0.8913415185008184,20.0,0.6,4,8,300
103,0.04744407860400444,0.07054231930010411,0.8913415185008184,20.0,0.6,4,4,300
86,0.047613671418103076,0.07054443334596128,0.8913350057448741,20.0,0.6,1,4,500
111,0.04743412177861901,0.07054852316713087,0.8913224056499983,20.0,0.8,1,2,700
83,0.047641055448157645,0.07055698315997455,0.891296339426188,20.0,0.6,1,2,500
153,0.04722482418479694,0.07056738030035477,0.8912643003439943,20.0,1.0,2,8,700
147,0.04719984501401658,0.07057114465710992,0.8912526992081381,20.0,1.0,2,2,700
150,0.04719984501401658,0.07057114465710992,0.8912526992081381,20.0,1.0,2,4,700
114,0.04745167019436997,0.07057178176495829,0.8912507356840405,20.0,0.8,1,4,700
113,0.047471497409691206,0.07057210308876581,0.8912497453786704,20.0,0.8,1,4,500
227,0.047318149446724724,0.0705782576428002,0.8912307764525914,30.0,1.0,2,2,500
230,0.04731814944672472,0.0705782576428002,0.8912307764525914,30.0,1.0,2,4,500
249,0.04772356621402916,0.07058312451319046,0.8912157751198044,40.0,0.6,1,4,700
229,0.04735805483236835,0.07058322183744477,0.8912154751231426,30.0,1.0,2,4,300
226,0.04735805483236835,0.07058322183744477,0.8912154751231426,30.0,1.0,2,2,300
248,0.04773608513871956,0.07059455140455405,0.891180549528703,40.0,0.6,1,4,500
247,0.047782345188757014,0.07059610264624917,0.891175767088129,40.0,0.6,1,4,300
