Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,Rainfall_mm,Temperature_C
2026-09-03,2026-09-10,36,2026,P074,18.508330314740576,76.87031898541534,Latur,high,priority,,1.3973242938518524,24.797111765543605
2026-06-18,2026-06-25,25,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,9.397008299827576,30.820088686261897
2026-06-25,2026-07-02,26,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,39.1711657717824,26.051078051612535
2026-07-02,2026-07-09,27,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,10.53805474191904,25.361563982282405
2026-07-09,2026-07-16,28,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,0.5988886505365372,27.359907858712347
2026-07-16,2026-07-23,29,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,86.88907999545336,25.457675643194307
2026-07-23,2026-07-30,30,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,53.0719435736537,25.284637796311188
2026-07-30,2026-08-06,31,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,56.462827034294605,25.329307447161
2026-08-06,2026-08-13,32,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,26.705750666558743,25.854566101800856
2026-08-13,2026-08-20,33,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,0.4736320972442627,5.499375514686108,25.512706102643733
2026-08-20,2026-08-27,34,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,21.655280254781246,25.810249492100354
2026-08-27,2026-09-03,35,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,0.5656196475028992,5.3740855529904366,25.796874709356473
2026-09-03,2026-09-10,36,2026,P075,18.41444799953777,77.20053313424823,Latur,high,priority,,3.560820572078228,25.517855580647847
2026-06-18,2026-06-25,25,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,0.09028256684541702,1.44133859872818,29.35502404712497
2026-06-25,2026-07-02,26,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,46.05720487982035,25.044090979439886
2026-07-02,2026-07-09,27,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,3.4330781921744347,23.598659406389515
2026-07-09,2026-07-16,28,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,4.90209786593914,25.364465150378976
2026-07-16,2026-07-23,29,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,51.20139121264219,23.85046303158714
2026-07-23,2026-07-30,30,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,11.271841123700142,24.028708666846853
2026-07-30,2026-08-06,31,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,21.788004405796528,23.87689161754787
2026-08-06,2026-08-13,32,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,7.0673864260315895,24.240564055669893
2026-08-13,2026-08-20,33,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,6.573658689856529,24.015077754429456
2026-08-20,2026-08-27,34,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,3.954478159546852,24.373935317993187
2026-08-27,2026-09-03,35,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,,2.0308700278401375,24.295072719029065
2026-09-03,2026-09-10,36,2026,P076,18.37787563053637,76.25376684114009,Latur,high,priority,0.715681254863739,0.0,23.98416417439779
2026-06-18,2026-06-25,25,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,0.08446484804153442,0.5177658349275589,29.65742127554762
2026-06-25,2026-07-02,26,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,37.07199990749359,25.201968583606515
2026-07-02,2026-07-09,27,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,9.887736469507217,23.962545195080054
2026-07-09,2026-07-16,28,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,0.19112494587898254,3.6287604570388794,25.678406742640902
2026-07-16,2026-07-23,29,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,62.66998814791441,24.17818113054551
2026-07-23,2026-07-30,30,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,0.2855018675327301,23.10404870659113,24.290497171311188
2026-07-30,2026-08-06,31,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,27.360031090676785,24.26842342558365
2026-08-06,2026-08-13,32,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,16.744344741106033,24.627166548229354
2026-08-13,2026-08-20,33,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,7.106742650270462,24.427012743268733
2026-08-20,2026-08-27,34,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,,5.3077626675367355,24.727113796415836
2026-08-27,2026-09-03,35,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,0.6691962480545044,1.7852343171834946,24.689766729445694
2026-09-03,2026-09-10,36,2026,P077,18.05956253680126,76.5349028314077,Latur,high,priority,0.8573906421661377,3.2901146933436394,24.22472407023116
2026-06-18,2026-06-25,25,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,0.17288407683372498,5.482310131192207,29.918721498761897
2026-06-25,2026-07-02,26,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,37.59627416729927,25.351010622297053
2026-07-02,2026-07-09,27,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,12.148284614086151,24.308934238978793
2026-07-09,2026-07-16,28,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,0.718842014670372,26.037584104992163
2026-07-16,2026-07-23,29,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,73.80088103562593,24.352090635753882
2026-07-23,2026-07-30,30,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,35.477468974888325,24.39888398306715
2026-07-30,2026-08-06,31,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,37.885826118290424,24.44144937424437
2026-08-06,2026-08-13,32,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,20.430529661476612,24.860960261027003
2026-08-13,2026-08-20,33,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,5.829552471637726,24.60318926856627
2026-08-20,2026-08-27,34,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,13.328385837376118,24.85867071605861
2026-08-27,2026-09-03,35,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,4.4487854689359665,24.751069277808767
2026-09-03,2026-09-10,36,2026,P078,18.10088423096409,76.96042233853383,Latur,high,priority,,3.418640285730362,24.410718536376976
