point_id,Year,Week_Number,Week_Start,Week_End,Rainfall_GSMaP,GSMaP_Image_Count
P001,2024,30,2024-07-22,2024-07-29,32.20195663720369,168
P001,2024,31,2024-07-29,2024-08-05,29.82000232487917,168
P001,2024,32,2024-08-05,2024-08-12,8.423843570053577,168
P001,2024,33,2024-08-12,2024-08-19,16.560325130820274,168
P001,2024,34,2024-08-19,2024-08-26,86.48773829638958,168
P001,2024,35,2024-08-26,2024-09-02,20.831011027097706,168
P001,2024,36,2024-09-02,2024-09-09,36.7331662401557,168
P001,2024,37,2024-09-09,2024-09-16,2.332235723733902,168
P001,2024,38,2024-09-16,2024-09-23,4.118163734674454,168
P001,2024,39,2024-09-23,2024-09-30,64.08780236542225,168
P001,2024,40,2024-09-30,2024-10-07,10.322677478194237,168
P001,2024,41,2024-10-07,2024-10-14,18.00707606971264,168
P001,2024,42,2024-10-14,2024-10-21,32.97330767661333,168
P001,2024,43,2024-10-21,2024-10-28,0.2478988319635391,168
P001,2024,44,2024-10-28,2024-11-04,0.0,168
P001,2024,45,2024-11-04,2024-11-11,0.0,168
P001,2024,46,2024-11-11,2024-11-18,0.0,168
P001,2024,47,2024-11-18,2024-11-25,0.0,168
P001,2024,48,2024-11-25,2024-12-02,0.0,168
P001,2024,49,2024-12-02,2024-12-09,10.131927996873856,168
P001,2024,50,2024-12-09,2024-12-16,0.0,168
P001,2024,51,2024-12-16,2024-12-23,0.0,168
P001,2024,52,2024-12-23,2024-12-30,0.0,168
P001,2025,1,2025-01-01,2025-01-08,0.0,168
P001,2025,2,2025-01-08,2025-01-15,0.0,168
P001,2025,3,2025-01-15,2025-01-22,0.0,168
P001,2025,4,2025-01-22,2025-01-29,0.0,168
P001,2025,5,2025-01-29,2025-02-05,0.0,168
P001,2025,6,2025-02-05,2025-02-12,0.0,168
P001,2025,7,2025-02-12,2025-02-19,0.0,168
P001,2025,8,2025-02-19,2025-02-26,0.0,168
P001,2025,9,2025-02-26,2025-03-05,0.0,168
P001,2025,10,2025-03-05,2025-03-12,0.0,168
P001,2025,11,2025-03-12,2025-03-19,0.0,168
P001,2025,12,2025-03-19,2025-03-26,0.0,168
P001,2025,13,2025-03-26,2025-04-02,0.0,168
P001,2025,14,2025-04-02,2025-04-09,0.6092151254415512,168
P001,2025,15,2025-04-09,2025-04-16,0.0,168
P001,2025,16,2025-04-16,2025-04-23,0.0,168
P001,2025,17,2025-04-23,2025-04-30,0.0,168
P001,2025,18,2025-04-30,2025-05-07,2.019567959010601,168
P001,2025,19,2025-05-07,2025-05-14,23.497535921633244,168
P001,2025,20,2025-05-14,2025-05-21,53.48209106177092,168
P001,2025,21,2025-05-21,2025-05-28,82.15416569262743,168
P001,2025,22,2025-05-28,2025-06-04,17.34302705526352,168
P001,2025,23,2025-06-04,2025-06-11,9.182945348322392,168
P001,2025,24,2025-06-11,2025-06-18,47.08115255832672,168
P001,2025,25,2025-06-18,2025-06-25,27.217874109745026,168
P001,2025,26,2025-06-25,2025-07-02,14.141461193561554,168
P001,2025,27,2025-07-02,2025-07-09,21.161790251731876,168
P001,2025,28,2025-07-09,2025-07-16,18.89498979598284,168
P001,2025,29,2025-07-16,2025-07-23,9.902584046125412,168
P001,2025,30,2025-07-23,2025-07-30,33.74335432052612,168
P001,2025,31,2025-07-30,2025-08-06,0.0,168
P001,2025,32,2025-08-06,2025-08-13,20.52349562197924,168
P001,2025,33,2025-08-13,2025-08-20,51.39622692763805,168
P001,2025,34,2025-08-20,2025-08-27,9.701762080192566,168
P001,2025,35,2025-08-27,2025-09-03,24.925481967628,168
P001,2025,36,2025-09-03,2025-09-10,11.862759046256542,168
P001,2025,37,2025-09-10,2025-09-17,46.459923550486565,168
P001,2025,38,2025-09-17,2025-09-24,90.5181226208806,168
P001,2025,39,2025-09-24,2025-10-01,49.050862066447735,168
P001,2025,40,2025-10-01,2025-10-08,5.381955087184906,168
P001,2025,41,2025-10-08,2025-10-15,0.0,168
