Week_Start,Week_End,Week_Number,Year,point_id,latitude,longitude,district,sampling_priority,region_type,NDVI,NDVI_Valid,Sentinel2_Images,Cloud_Probability_Threshold,Scene_Cloud_Threshold,Rainfall_mm,Rainfall_Valid,CHIRPS_Days,rainfall_source,Temperature_C,Temperature_Valid,ERA5_Days,temperature_source,study_area,dataset
2021-01-01,2021-01-08,1.0,2021,P062,18.422405896924207,76.3487594508077,Latur,high,priority,0.7169421315193176,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.73334147135421,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P063,18.235391198742693,77.05646783810116,Latur,high,priority,0.3266007006168365,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.559501720610115,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P064,18.19305649334127,76.77240080549139,Latur,high,priority,0.2948222160339355,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.73312058221728,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P065,18.33135551251389,76.44266811899327,Latur,high,priority,0.465457946062088,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.6507289341518,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P066,18.104739537876725,76.5352970251765,Latur,high,priority,0.4497762322425842,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.624280366443543,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P067,18.280552974211982,77.0569984711265,Latur,high,priority,0.5223965644836426,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.559501720610115,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P068,18.101823285787773,76.86595720469373,Latur,high,priority,0.2894816100597381,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.77300851004469,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P069,18.595075667016797,77.20284228928156,Latur,high,priority,0.2271493077278137,1.0,71.0,65.0,80.0,5.111330986022949,1,7,CHIRPS Daily v2.0,23.072580682663727,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P070,18.41499041187233,77.15322587185987,Latur,high,priority,0.2874646484851837,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.894020879836376,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
2021-01-01,2021-01-08,1.0,2021,P071,18.149138807065885,76.63019561379593,Latur,high,priority,0.7817789912223816,1.0,71.0,65.0,80.0,0.0,1,7,CHIRPS Daily v2.0,22.6624476841518,1,7,ERA5-Land Daily Aggregated,Maharashtra,AgriVision Combined NDVI Rainfall Temperature
