Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm,Difference_mm,Absolute_Difference_mm,Relative_Difference_Percent
2026-07-30,2026-08-01,31,2026,P084,82.95024871826172,40.4523244202137,-42.49792429804802,42.49792429804802,-51.233028176191574
2026-06-18,2026-06-25,25,2026,P085,16.893945693969727,3.8690282851457596,-13.024917408823967,13.024917408823967,-77.09813707684164
2026-06-25,2026-07-02,26,2026,P085,43.17939853668213,37.96556754410267,-5.21383099257946,5.21383099257946,-12.074811528813127
2026-07-02,2026-07-09,27,2026,P085,0.0,12.324095211923122,12.324095211923122,12.324095211923122,
2026-07-09,2026-07-16,28,2026,P085,0.0,2.7723682895302773,2.7723682895302773,2.7723682895302773,
2026-07-16,2026-07-23,29,2026,P085,54.26481628417969,66.59579915553331,12.330982871353626,12.330982871353626,22.723716241436147
2026-07-23,2026-07-30,30,2026,P085,60.9256649017334,27.787586584687233,-33.138078317046165,33.138078317046165,-54.39099986925765
2026-07-30,2026-08-01,31,2026,P085,67.69518375396729,26.609292224049568,-41.08589152991772,41.08589152991772,-60.69248837441833
2026-06-18,2026-06-25,25,2026,P147,59.657569885253906,70.29638294875622,10.638813063502312,10.638813063502312,17.83313179528622
2026-06-25,2026-07-02,26,2026,P147,90.43922424316406,119.9273284599185,29.488104216754436,29.488104216754436,32.60543692576324
2026-07-02,2026-07-09,27,2026,P147,264.7581329345703,562.8626121729612,298.1044792383909,298.1044792383909,112.59502245850234
2026-07-09,2026-07-16,28,2026,P147,0.0,7.695948019623756,7.695948019623756,7.695948019623756,
2026-07-16,2026-07-23,29,2026,P147,23.66853904724121,184.8227416947484,161.1542026475072,161.1542026475072,680.8793830740948
2026-07-23,2026-07-30,30,2026,P147,62.69062042236328,164.1068876683712,101.41626724600792,101.41626724600792,161.77263291181316
2026-07-30,2026-08-01,31,2026,P147,96.08634948730469,111.27553107589483,15.189181588590145,15.189181588590145,15.807845411586793
