Week_Start,Week_End,Week_Number,Year,point_id,CHIRPS_mm,GSMaP_mm
2026-07-02,2026-07-09,27,2026,P079,0.0,7.562757298350334
2026-07-09,2026-07-16,28,2026,P079,0.0,0.42035503685474396
2026-07-16,2026-07-23,29,2026,P079,92.51276779174805,62.73318571597338
2026-07-23,2026-07-30,30,2026,P079,70.77416610717773,22.48306966573
2026-07-30,2026-08-01,31,2026,P079,117.95693969726562,59.913346350193024
2026-06-18,2026-06-25,25,2026,P080,19.77889633178711,2.9725123792886734
2026-06-25,2026-07-02,26,2026,P080,40.66900300979614,40.47968916594982
2026-07-02,2026-07-09,27,2026,P080,6.989734649658203,2.201223611831665
2026-07-09,2026-07-16,28,2026,P080,0.0,4.301975280046463
2026-07-16,2026-07-23,29,2026,P080,56.562458992004395,48.76579895615578
2026-07-23,2026-07-30,30,2026,P080,44.46628761291504,11.493676044046879
2026-07-30,2026-08-01,31,2026,P080,88.93257522583008,24.500307649374008
2026-06-18,2026-06-25,25,2026,P081,18.682178497314453,3.2778567895293236
2026-06-25,2026-07-02,26,2026,P081,46.54348373413086,37.60368412733078
2026-07-02,2026-07-09,27,2026,P081,0.0,11.669830732047558
2026-07-09,2026-07-16,28,2026,P081,0.0,3.090169809758663
2026-07-16,2026-07-23,29,2026,P081,55.10114860534668,65.89915301650763
2026-07-23,2026-07-30,30,2026,P081,52.86427068710327,25.82998152822256
2026-07-30,2026-08-01,31,2026,P081,75.52038669586182,25.56114476174116
2026-06-18,2026-06-25,25,2026,P082,22.05342674255371,3.6262730211019516
2026-06-25,2026-07-02,26,2026,P082,47.93375015258789,40.583529092371464
2026-07-02,2026-07-09,27,2026,P082,0.0,11.237737715244293
2026-07-09,2026-07-16,28,2026,P082,0.0,3.1161850318312645
2026-07-16,2026-07-23,29,2026,P082,68.70943641662598,66.96548968553543
2026-07-23,2026-07-30,30,2026,P082,55.91353940963745,24.80816239118576
2026-07-30,2026-08-01,31,2026,P082,87.8641357421875,28.02619044482708
2026-06-18,2026-06-25,25,2026,P083,37.208229064941406,11.18301560729742
2026-06-25,2026-07-02,26,2026,P083,52.72555351257324,37.978792421519756
2026-07-02,2026-07-09,27,2026,P083,9.298809051513672,12.521515361964703
2026-07-09,2026-07-16,28,2026,P083,0.0,0.5986292064189911
2026-07-16,2026-07-23,29,2026,P083,55.077415466308594,87.47344699501991
2026-07-23,2026-07-30,30,2026,P083,68.83573007583618,49.05197188258171
2026-07-30,2026-08-01,31,2026,P083,76.48414134979248,33.394312620162964
2026-06-18,2026-06-25,25,2026,P084,26.542009353637695,6.960108682513237
2026-06-25,2026-07-02,26,2026,P084,47.60458946228027,37.674197755753994
2026-07-02,2026-07-09,27,2026,P084,11.744282722473145,10.135734736919403
2026-07-09,2026-07-16,28,2026,P084,0.0,0.5082845985889435
2026-07-16,2026-07-23,29,2026,P084,71.2637071609497,68.38731252402067
2026-07-23,2026-07-30,30,2026,P084,82.95024681091309,28.462824389338493
2026-07-30,2026-08-01,31,2026,P084,82.95024871826172,40.4523244202137
2026-06-18,2026-06-25,25,2026,P085,16.893945693969727,3.8690282851457596
